;time_in_ms;TransGroundSpeed;LonGroundSpeed;RPMOrder;AzimuthOrder;CourseTrue;x;y
1842814;1540291959409;0.36;6.99;55.406166000000006;1.616903;342.66;0.0;0.0
1842815;1540291960409;0.45;7.02;55.647057;1.621964;343.29;-0.6296788879359139;2.0726762839231547
1842816;1540291961409;0.34;7.01;55.406166000000006;1.621964;342.27;-1.277362891085068;4.129785260926073
1842817;1540291962409;0.39;6.98;55.406166000000006;1.621964;342.69;-1.9345495938807424;6.186894235558725
1842818;1540291963409;0.42;7.02;55.406166000000006;1.624494;342.76;-2.576231892018045;8.245115162660902
1842819;1540291964409;0.41;6.98;55.406166000000006;1.04251;342.61;-3.224916179335841;10.3077838909502
1842820;1540291965409;0.43;6.96;55.406166000000006;0.41498;342.89;-3.8660983353444016;12.35266140738021
1842821;1540291966409;0.39;7.04;55.406166000000006;0.427632;342.24;-4.518783759336765;14.432009397429537
1842822;1540291967409;0.55;6.91;55.406166000000006;1.014676;343.98;-5.155964778581915;16.477998865538986
1842823;1540291968409;0.44;7.07;55.406166000000006;1.014676;342.73;-5.757135567755956;18.55734685716849
1842824;1540291969409;0.37;6.94;55.647057;1.014676;342.33;-6.426825822615233;20.610008028243755
1842825;1540291970409;0.48;7.01;55.406166000000006;0.422571;343.35;-7.055504426382504;22.659333347441066
1842826;1540291971409;0.44;6.97;55.647057;1.627024;342.82;-7.686183598575902;24.732009634524577
1842827;1540291972409;0.44;6.95;55.647057;1.024798;342.79;-8.322864475692311;26.77799909947367
1842828;1540291973409;0.45;7.0;55.406166000000006;1.022267;342.58;-8.969548194672823;28.835108076476587
1842829;1540291974409;0.52;6.96;55.16526800000001;0.41498;343.2;-9.598726940568836;30.889993149330547
1842830;1540291975409;0.33;6.98;55.406166000000006;0.407389;341.37;-10.26041492216782;32.94043042020729
1842831;1540291976409;0.5;6.95;55.406166000000006;0.407389;342.75;-10.926104040530216;34.97863623130122
1842832;1540291977409;0.38;6.97;55.406166000000006;0.42004;341.65;-11.58479116953443;37.02573764950993
1842833;1540291978409;0.38;6.95;55.406166000000006;0.422571;341.53;-12.261483413663042;39.063943461393954
1842834;1540291979409;0.35;6.94;55.406166000000006;0.430162;341.16;-12.956680915222485;41.0910297643845
1842835;1540291980409;0.42;6.94;55.406166000000006;0.116397;341.74;-13.632873017311198;43.11811606816514
1842836;1540291981409;0.32;6.94;55.406166000000006;0.116397;340.77;-14.328570660821692;45.14409042105644
1842837;1540291982409;0.34;6.91;55.406166000000006;0.116397;340.95;-15.027769298878013;47.147825757740975
1842838;1540291983409;0.45;6.94;55.406166000000006;0.111336;341.89;-15.70896282189878;49.171576208063485
1842839;1540291984409;0.26;6.96;55.16526800000001;0.116397;340.29;-16.40215975503209;51.205334215600026
1842840;1540291985409;0.32;6.91;55.406166000000006;0.118927;340.91;-17.123364644976217;53.213517356632025
1842841;1540291986409;0.34;6.93;55.406166000000006;0.123988;341.18;-17.810559873008835;55.22503634954199
1842842;1540291987409;0.31;6.94;55.406166000000006;0.118927;340.87;-18.5102586531939;57.24878680144468
1842843;1540291988409;0.33;6.88;55.406166000000006;0.422571;341.17;-19.207956865130523;59.25919384109503
1842844;1540291989409;0.3;6.91;55.406166000000006;0.41498;341.02;-19.89815294584675;61.271824785684416
1842845;1540291990409;0.32;6.91;55.16526800000001;0.41498;341.12;-20.596851441685484;63.288903532251034
1842846;1540291991409;0.36;6.84;55.16526800000001;0.427632;341.72;-21.272043259605557;65.29819862259221
1842847;1540291992409;0.28;6.96;55.406166000000006;0.41498;340.92;-21.952736640497584;67.31861322182685
1842848;1540291993409;0.34;6.86;55.406166000000006;0.422571;341.57;-22.648434283830394;69.33346806582468
1842849;1540291994409;0.35;6.92;55.406166000000006;0.113866;341.64;-23.312622976073087;71.35165876170045
1842850;1540291995409;0.3;6.85;55.406166000000006;0.121457;341.1;-24.00381934078027;73.35428215144609
1842851;1540291996409;0.38;6.89;55.406166000000006;0.113866;341.81;-24.67100888535121;75.36135333842839
1842852;1540291997409;0.24;6.85;55.406166000000006;0.111336;340.63;-25.36420581839568;77.36175282323497
1842853;1540291998409;0.44;6.87;55.406166000000006;0.111336;342.4;-26.036396783809824;79.36548815991951
1842854;1540291999409;0.22;6.87;55.406166000000006;0.111336;340.54;-26.70858774922397;81.37478325026068
1842855;1540292000409;0.47;6.79;55.406166000000006;0.1417;342.87;-27.371276014991594;83.36183932755546
1842856;1540292001409;0.27;6.98;55.406166000000006;0.116397;341.0;-28.025962007321244;85.38781367807647
1842857;1540292002409;0.35;6.78;55.647057;0.12651800000000002;341.94;-28.707155530253168;87.39488486742904
1842858;1540292003409;0.33;6.86;55.406166000000006;0.118927;341.87;-29.356339959699707;89.38972459936907
1842859;1540292004409;0.31;6.86;55.406166000000006;0.685729;341.69;-30.021528935844515;91.39457188536278
1842860;1540292005409;0.42;6.86;55.406166000000006;0.288462;342.73;-30.667712512785126;93.39719527194805
1842861;1540292006409;0.3;6.79;55.406166000000006;0.7085020000000001;341.86;-31.300392253226967;95.40204255952193
1842862;1540292007409;0.35;6.88;55.406166000000006;1.03998;342.32;-31.96158009278605;97.40688984472555
1842863;1540292008409;0.37;6.84;55.647057;1.614372;342.65;-32.60026153832859;99.42619249465102
1842864;1540292009409;0.37;6.83;55.647057;1.621964;342.78;-33.225439147550034;101.43437563489293
1842865;1540292010409;0.3;6.86;55.647057;1.621964;342.17;-33.8716227244018;103.43811097157747
1842866;1540292011409;0.51;6.8;55.406166000000006;1.624494;343.94;-34.478795218410006;105.45518971814408
1842867;1540292012409;0.39;6.84;55.16526800000001;1.619433;342.92;-35.08346700204103;107.46670871184412
1842868;1540292013409;0.32;6.79;55.406166000000006;1.621964;342.19;-35.717147026740356;109.47711575149448
1842869;1540292014409;0.44;6.78;55.406166000000006;1.627024;343.25;-36.34082420993094;111.47084353175507
1842870;1540292015409;0.42;6.8;55.406166000000006;1.624494;342.76;-36.94949712997001;113.48125057298559
1842871;1540292016409;0.47;6.79;55.406166000000006;1.037449;343.13;-37.56717260788222;115.48165005779217
1842872;1540292017409;0.35;6.77;55.406166000000006;0.116397;342.14;-38.18834908034026;117.47537783726267
1842873;1540292018409;0.35;6.82;55.406166000000006;0.123988;341.98;-38.845535783224776;119.45798610862977
1842874;1540292019409;0.53;6.78;55.406166000000006;0.711032;343.34;-39.47521467133837;121.47506485519638
1842875;1540292020409;0.31;6.74;55.647057;0.12651800000000002;341.78;-40.094390575370284;123.44766557013956
1842876;1540292021409;0.35;6.79;55.647057;0.111336;341.97;-40.76007969355499;125.43583359516332
1842877;1540292022409;0.48;6.66;55.406166000000006;0.116397;343.31;-41.375254461090016;127.40954626020576
1842878;1540292023409;0.37;6.77;55.406166000000006;0.108806;342.37;-41.98542780769299;129.38993063058427
1842879;1540292024409;0.3;6.75;55.406166000000006;1.029858;341.78;-42.634112094921946;131.37142695185213
1842880;1540292025409;0.44;6.67;55.406166000000006;1.0475709999999998;343.22;-43.26129027248068;133.34069181412724
1842881;1540292026409;0.45;6.81;55.406166000000006;1.027328;343.27;-43.856959498505084;135.33219569181907
1842882;1540292027409;0.31;6.72;55.406166000000006;1.621964;342.07;-44.48213710772652;137.33037127405686
